Well ID	Count	Gated count	Count	Gated Count	Gated 	Count
Specimen_001_A1_A01.fcs	10000	5233	10000	5557	10000	5743
Specimen_001_A2_A02.fcs	10000	4941	10000	4949	10000 	5123
Specimen_001_A3_A03.fcs	10000	5223	10000	4853	10000 	5122
Specimen_001_A4_A04.fcs	10000	5521	10000	4996	10000 	5012
Specimen_001_A5_A05.fcs	10000	5350	10000	4683	10000 	4700
Specimen_001_A6_A06.fcs	10000	5784	10000	5191	10000 	5231
Specimen_001_A7_A07.fcs	10000	5216	10000	4921	10000 	5000
Specimen_001_A8_A08.fcs	10000	5628	10000	5607	10000 	5701
Specimen_001_A9_A09.fcs	10000	5724	10000	5231	10000 	5410
Specimen_001_A10_A10.fcs	10000	5650	10000	4467	10000	4510
Specimen_001_A11_A11.fcs	10000	5407	10000	4622	10000	4600
Specimen_001_A12_A12.fcs	10000	5748	10000	8676	10000	9000
Specimen_001_B1_B01.fcs	10000	5757	10000	8464	10000 	8436
Specimen_001_B2_B02.fcs	10000	5736	10000	8789	10000 	8812
Specimen_001_B3_B03.fcs	10000	5292	10000	5019	10000 	5052
Specimen_001_B4_B04.fcs	10000	5166	10000	4943	10000 	4974
Specimen_001_B5_B05.fcs	10000	5217	10000	5348	10000 	5423
Specimen_001_B6_B06.fcs	10000	5103	10000	5561	10000 	5601
Specimen_001_B7_B07.fcs	10000	5168	10000	5525	10000 	5578
Specimen_001_B8_B08.fcs	10000	4785	10000	5717	10000 	5812
Specimen_001_B9_B09.fcs	10000	5447	10000	5155	10000 	5214
Specimen_001_B10_B10.fcs	10000	5251	10000	5324 	10000	5423
Specimen_001_B11_B11.fcs	10000	5263	10000	5476 	10000	5555
Specimen_001_B12_B12.fcs	10000	4956	10000	5111	10000	5186
Specimen_001_C1_C01.fcs	10000	4820	10000	4691	10000 	4719
Specimen_001_C2_C02.fcs	10000	4912	10000	4263	10000 	4260
Specimen_001_C3_C03.fcs	10000	5159	10000	4435	10000 	4762
Specimen_001_C4_C04.fcs	10000	4948	10000	4778	10000 	4814
Specimen_001_C5_C05.fcs	10000	4810	10000	4041	10000 	4231
Specimen_001_C6_C06.fcs	10000	5086	10000	4969	10000 	5100
Specimen_001_C7_C07.fcs	10000	4813	10000	3914	10000 	4102
Specimen_001_C8_C08.fcs	10000	5087	10000	4817	10000 	4897
Specimen_001_C9_C09.fcs	10000	4946	10000	4592	10000 	5687
Specimen_001_C10_C10.fcs	10000	4769	10000	4801 	10000	4853
Specimen_001_C11_C11.fcs	10000	4999	10000	5103 	10000	5175
Specimen_001_C12_C12.fcs	10000	5315	10000	5412 	10000	5471
Specimen_001_D1_D01.fcs	10000	7632	9159	8801	9001 	8880
Specimen_001_D2_D02.fcs	10000	7745	8127	7876	10000 	8890
Specimen_001_D3_D03.fcs	10000	5294	10000	6081	9123 	6213
Specimen_001_D4_D04.fcs	10000	5644	10000	8667	10000 	8771
